Sorted;BubbleSort;QuickSort;InsertionSort;MergeSort;CountingSort;HeapSort; ;Random;BubbleSort;QuickSort;InsertionSort;MergeSort;CountingSort;HeapSort; ;BackwardSorted;BubbleSort;QuickSort;InsertionSort;MergeSort;CountingSort;HeapSort; ;SortedRandomFirst;BubbleSort;QuickSort;InsertionSort;MergeSort;CountingSort;HeapSort; ;BackwardSortedRandomLast;BubbleSort;QuickSort;InsertionSort;MergeSort;CountingSort;HeapSort; ;
2400;0;0;0.001;0.012;0;0.097;;2400;0.238;0.001;0.058;0.009;0.001;0.094;;2400;0.287;0;0.121;0.009;0.001;0.095;;2400;0.001;0;0;0.01;0;0.095;;2400;0.287;0;0.12;0.009;0;0.094;
2500;0;0;0.001;0.01;0;0.101;;2500;0.326;0.001;0.067;0.01;0.001;0.102;;2500;0.321;0;0.129;0.011;0;0.102;;2500;0;0;0.001;0.012;0;0.106;;2500;0.317;0.001;0.135;0.011;0.001;0.107;
2600;0;0;0;0.012;0;0.118;;2600;0.291;0;0.07;0.012;0.001;0.131;;2600;0.381;0.001;0.141;0.011;0;0.112;;2600;0.001;0;0;0.011;0;0.109;;2600;0.336;0.001;0.142;0.012;0;0.112;
2700;0.001;0;0;0.011;0;0.12;;2700;0.3;0;0.074;0.012;0;0.152;;2700;0.487;0;0.152;0.011;0;0.119;;2700;0.001;0;0;0.011;0;0.127;;2700;0.369;0;0.155;0.012;0.001;0.118;
2800;0;0;0;0.012;0;0.13;;2800;0.338;0;0.083;0.011;0;0.13;;2800;0.469;0;0.171;0.011;0.001;0.131;;2800;0;0;0.001;0.011;0;0.135;;2800;0.397;0;0.166;0.013;0;0.135;
2900;0;0;0;0.014;0;0.143;;2900;0.356;0.001;0.088;0.012;0;0.146;;2900;0.497;0;0.183;0.013;0;0.138;;2900;0;0;0.001;0.012;0;0.138;;2900;0.438;0;0.179;0.012;0;0.14;
3000;0;0;0;0.013;0.001;0.148;;3000;0.388;0.001;0.131;0.019;0.001;0.178;;3000;0.454;0.001;0.188;0.014;0;0.152;;3000;0.001;0;0;0.013;0;0.148;;3000;0.465;0;0.187;0.014;0;0.149;
3100;0;0;0.001;0.012;0.001;0.167;;3100;0.471;0;0.104;0.014;0;0.166;;3100;0.498;0;0.201;0.013;0;0.157;;3100;0;0;0;0.013;0.001;0.161;;3100;0.513;0;0.27;0.019;0;0.183;
3200;0;0;0;0.014;0;0.173;;3200;0.427;0;0.104;0.013;0;0.166;;3200;0.514;0;0.207;0.013;0;0.194;;3200;0;0.001;0;0.023;0;0.209;;3200;0.535;0;0.222;0.013;0;0.169;
3300;0;0;0;0.013;0.001;0.182;;3300;0.48;0.001;0.13;0.033;0.001;0.292;;3300;0.765;0;0.258;0.02;0;0.199;;3300;0.001;0;0;0.014;0;0.213;;3300;0.62;0.001;0.274;0.018;0.001;0.242;
3400;0;0;0.001;0.018;0;0.214;;3400;0.497;0;0.127;0.014;0.001;0.197;;3400;0.6;0;0.249;0.015;0;0.225;;3400;0;0.001;0;0.02;0;0.221;;3400;0.606;0;0.258;0.014;0;0.191;
3500;0;0.001;0;0.014;0;0.2;;3500;0.528;0;0.157;0.023;0;0.245;;3500;0.618;0;0.262;0.015;0;0.203;;3500;0.001;0;0.001;0.014;0.001;0.208;;3500;0.659;0;0.316;0.014;0;0.206;
3600;0;0;0;0.015;0;0.217;;3600;0.552;0.001;0.139;0.016;0;0.221;;3600;0.726;0;0.329;0.018;0;0.222;;3600;0;0.001;0;0.017;0;0.21;;3600;0.654;0;0.273;0.014;0;0.212;
3700;0;0;0;0.015;0;0.256;;3700;0.617;0.001;0.144;0.014;0.001;0.223;;3700;0.694;0;0.284;0.015;0;0.255;;3700;0;0.001;0;0.022;0;0.268;;3700;0.711;0;0.289;0.015;0;0.234;
3800;0;0;0;0.016;0.001;0.243;;3800;0.7;0;0.166;0.018;0.001;0.235;;3800;0.741;0;0.318;0.016;0;0.237;;3800;0;0;0.001;0.016;0;0.241;;3800;0.803;0;0.301;0.015;0;0.244;
3900;0.001;0;0;0.016;0.001;0.25;;3900;0.658;0;0.207;0.023;0;0.253;;3900;0.784;0.001;0.32;0.015;0;0.247;;3900;0;0.001;0;0.014;0.001;0.255;;3900;0.864;0;0.334;0.016;0;0.264;
4000;0;0;0.001;0.015;0.001;0.266;;4000;0.703;0.001;0.216;0.018;0;0.287;;4000;0.826;0;0.333;0.016;0;0.274;;4000;0;0;0.001;0.016;0.001;0.304;;4000;0.869;0.001;0.324;0.015;0;0.258;
4100;0.001;0;0;0.016;0;0.277;;4100;0.807;0;0.179;0.016;0.001;0.276;;4100;0.873;0;0.36;0.017;0;0.319;;4100;0.001;0;0.001;0.024;0;0.291;;4100;0.867;0;0.352;0.017;0;0.29;
